File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\hesders_sidebars\admin_menuSideBar.jsp,12,11,0,0,1,0,0,0,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\hesders_sidebars\_categoryList.jsp,45,24,2,1,4,0,17,28,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\hesders_sidebars\_subCategoryList.jsp,9,6,0,0,3,0,0,0,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\mainHeaders\index_latestAddedProducts.jsp,62,58,15,1,4,0,0,0,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\mainHeaders\topMostViewedProducts_4.jsp,91,84,23,3,7,0,0,0,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\includesPage\mainHeaders\topMostViewedProducts_5_1.jsp,78,72,22,2,6,0,0,0,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\js\headerJoinScript.js,13,7,7,0,6,0,0,0,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\js\jquery-1.7.2.min.js,4,3,782,0,0,1,1,211,1,7
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\js\jquery-ui-1.8.18.custom.min.js,50,5,236,0,0,5,45,158,8,28
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\js\jquery.js,18,3,749,0,0,1,15,263,15,58
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\js\jquery.smooth-scroll.min.js,20,5,34,0,0,1,15,47,15,47
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\js\lightbox.js,352,283,235,31,29,0,40,120,40,120
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\js\myScript.js,141,96,81,7,26,0,19,34,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\js\product.js,9,8,8,0,0,0,1,3,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\js\slider.js,97,84,71,10,13,0,0,0,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\js\gclibrary\core.js,9,9,8,2,0,0,0,0,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\js\gclibrary\core1.js,876,872,5594,3,4,0,0,0,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\js\gclibrary\jsapi.js,39,38,343,3,1,2,0,2,0,0
